name,mill_rate
Andover,35.61
Ansonia,37.8
Ashford,36.836
Avon,32.9
Barkhamsted,30.77
Beacon Falls,35.9
Berlin,33.93
Bethany,36.56
Bethel,33.74
Bethlehem,26.71
Bloomfield,35.01
Bolton,38.86
Bozrah,27
Branford,28.92
Bridgeport,53.99
Bridgewater,17.5
Bristol,38.35
Brookfield,29.65
Brooklyn,28.92
Burlington,33.3
Canaan,25.7
Canterbury,26.4
Canton,32.59
Chaplin,32.5
Cheshire,33.22
Chester,28.62
Clinton,31.25
Colchester,32.84
Colebrook,30.9
Columbia,29.33
Cornwall,16.7
Coventry,31.17
Cromwell,30.33
Danbury,27.6
Darien,16.33
Deep River,29.99
Derby,43.869
Durham,35.78
Eastford,25.61
East Granby,33.2
East Haddam,30.44
East Hampton,33.14
East Hartford,49.92
East Haven,34.25
East Lyme,28.36
Easton,31
East Windsor,34.72
Ellington,32.6
Enfield,34.23
Essex,21.81
Fairfield,26.79
Farmington,27.97
Franklin,23.22
Glastonbury,36.9
Goshen,19.6
Granby,39.61
Greenwich,11.59
Griswold,29.1
Groton,25.11
Guilford,32.31
Haddam,31.69
Hamden,51.98
Hampton,25.5
Hartford,74.29
Hartland,27.5
Harwinton,28
Hebron,36.33
Kent,18.61
Killingly,24.64
Killingworth,26.72
Lebanon,28.2
Ledyard,34.97
Lisbon,23.23
Litchfield,27.7
Lyme,19.95
Madison,28.35
Manchester,36.52
Mansfield,31.38
Marlborough,36.27
Meriden,40.86
Middlebury,35.1
Middlefield,32.23
Middletown,35.8
Milford,27.68
Monroe,35.48
Montville,32.38
Morris,25.17
Naugatuck,47.75
New Britain,50.5
New Canaan,18.164
New Fairfield,30.58
New Hartford,30.63
New Haven,43.88
Newington,39.28
New London,38.19
New Milford,28.68
Newtown,34.76
Norfolk,25.98
North Branford,33.58
North Canaan,28.25
North Haven,30.72
North Stonington,29.5
Norwalk,23.956
Norwich,42.06
Old Lyme,23.2
Old Saybrook,20.05
Orange,32.74
Oxford,23.84
Plainfield,28.33
Plainville,34.62
Plymouth,40.63
Pomfret,26.76
Portland,34.38
Preston,26.9
Prospect,31.6
Putnam,20.84
Redding,32.84
Ridgefield,28.12
Rocky Hill,33.6
Roxbury,15.8
Salem,32.2
Salisbury,11.6
Scotland,42.65
Seymour,36
Sharon,14.4
Shelton,22.42
Sherman,19.11
Simsbury,37.09
Somers,27.37
Southbury,29.1
Southington,30.63
South Windsor,37.88
Sprague,35.75
Stafford,34.93
Stamford,0.026
Sterling,31.94
Stonington,23.36
Stratford,39.64
Suffield,28.64
Thomaston,36.13
Thompson,24.23
Tolland,36.05
Torrington,46.17
Trumbull,34.74
Union,28.99
Vernon,39.63
Voluntown,29.21
Wallingford,29.19
Warren,14.25
Washington,14.25
Waterbury,60.21
Waterford,27.87
Watertown,33.19
Westbrook,25
West Hartford,41.8
West Haven,37.48
Weston,32.37
Westport,16.71
Wethersfield,40.69
Willington,29.99
Wilton,27.4616
Winchester,33.54
Windham,36.8
Windsor,33.11
Windsor Locks,25.83
Wolcott,33.14
Woodbridge,41.53
Woodbury,29.17
Woodstock,24.5